'2013-03-16 17:22:54,621 - django.db.backends - DEBUG - (0.019) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`expired` = 0 ; args=(False,)'
'2013-03-16 17:24:50,891 - django.db.backends - DEBUG - (0.067) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`expired` = 0 ; args=(False,)'
'2013-03-16 17:25:11,706 - django.db.backends - DEBUG - (0.021) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`expired` = 0 ; args=(False,)'
'2013-03-16 17:25:14,415 - django.db.backends - DEBUG - (0.029) INSERT INTO `mailer_email` (`to_email`, `from_email`, `subject`, `message`, `email_type`, `send_date`) VALUES ('hubertngu@gmail.com', 'from@email.com', 'Virtual Deconstruction Hub - Survey', 'Hi\n\nHave you recently purchased or sold material using us?\n\nIf so please follow the link below to provide us with some information regarding your transaction!  This information will help us generate statistics for everyone to view on our website.\n\nhttp://127.0.0.1:8000//survey/47b54d20-8e78-11e2-9e96-0800200c9a66\n\nThank you', 1, '2013-03-16 17:25:14'); args=[u'hubertngu@gmail.com', 'from@email.com', 'Virtual Deconstruction Hub - Survey', u'Hi\n\nHave you recently purchased or sold material using us?\n\nIf so please follow the link below to provide us with some information regarding your transaction!  This information will help us generate statistics for everyone to view on our website.\n\nhttp://127.0.0.1:8000//survey/47b54d20-8e78-11e2-9e96-0800200c9a66\n\nThank you', 1, u'2013-03-16 17:25:14']'
'2013-03-16 17:25:16,448 - django.db.backends - DEBUG - (0.064) INSERT INTO `mailer_email` (`to_email`, `from_email`, `subject`, `message`, `email_type`, `send_date`) VALUES ('hubertngu@gmail.com', 'from@email.com', 'Virtual Deconstruction Hub - Survey', 'Hi\n\nHave you recently purchased or sold material using us?\n\nIf so please follow the link below to provide us with some information regarding your transaction!  This information will help us generate statistics for everyone to view on our website.\n\nhttp://127.0.0.1:8000//survey/47b54d20-8e78-11e2-9e96-0800200c9a64\n\nThank you', 1, '2013-03-16 17:25:16'); args=[u'hubertngu@gmail.com', 'from@email.com', 'Virtual Deconstruction Hub - Survey', u'Hi\n\nHave you recently purchased or sold material using us?\n\nIf so please follow the link below to provide us with some information regarding your transaction!  This information will help us generate statistics for everyone to view on our website.\n\nhttp://127.0.0.1:8000//survey/47b54d20-8e78-11e2-9e96-0800200c9a64\n\nThank you', 1, u'2013-03-16 17:25:16']'
'2013-03-16 17:26:23,216 - django.db.backends - DEBUG - (0.014) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`survey_id` = '47b54d20-8e78-11e2-9e96-0800200c9a66' ; args=(u'47b54d20-8e78-11e2-9e96-0800200c9a66',)'
'2013-03-16 17:26:28,063 - django.db.backends - DEBUG - (0.084) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`survey_id` = '47b54d20-8e78-11e2-9e96-0800200c9a66' ; args=(u'47b54d20-8e78-11e2-9e96-0800200c9a66',)'
'2013-03-16 17:26:28,161 - django.db.backends - DEBUG - (0.045) INSERT INTO `survey_system_survey` (`item`, `category`, `quantity`, `price`, `location`, `comments`, `listing_id`, `time_submitted`) VALUES ('7', '77', 7, 7, '7', '7', 1, '2013-03-16 17:26:28'); args=[u'7', u'77', 7, 7.0, u'7', u'7', 1, u'2013-03-16 17:26:28']'
'2013-03-16 17:26:28,506 - django.db.backends - DEBUG - (0.081) SELECT (1) AS `a` FROM `listings_listing` WHERE `listings_listing`.`id` = 1  LIMIT 1; args=(1,)'
'2013-03-16 17:26:28,687 - django.db.backends - DEBUG - (0.065) UPDATE `listings_listing` SET `url` = '1', `creator` = 'hubertngu@gmail.com', `created` = '1111-11-11 11:11:11', `lastModified` = '2013-03-16 17:26:28', `title` = '1', `textContent` = '1', `verified` = 1, `category` = 'Bricks', `price` = '1', `num` = 1, `street` = 'street', `city` = 'vancouver', `zipcode` = 'v5j 3a', `location` = 'metro', `flagCount` = 5, `expires` = '1111-11-11 11:11:11', `expired` = 1, `survey_id` = '47b54d20-8e78-11e2-9e96-0800200c9a66', `survey_time_sent` = NULL WHERE `listings_listing`.`id` = 1 ; args=(u'1', u'hubertngu@gmail.com', u'1111-11-11 11:11:11', u'2013-03-16 17:26:28', u'1', u'1', True, u'Bricks', u'1', 1, u'street', u'vancouver', u'v5j 3a', u'metro', 5, u'1111-11-11 11:11:11', True, u'47b54d20-8e78-11e2-9e96-0800200c9a66', 1)'
'2013-03-16 17:26:31,863 - django.db.backends - DEBUG - (0.079) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`survey_id` = '47b54d20-8e78-11e2-9e96-0800200c9a66' ; args=(u'47b54d20-8e78-11e2-9e96-0800200c9a66',)'
